Delivery Point,Avg_6M_Volume,Zero_Volume_Months,Churn_Probability_%,Risk_Profile
617754,56724.75,0,0.05,Low Risk (Zone 5/6)
617772,113481.0,0,0.05,Low Risk (Zone 5/6)
617847,68542.05,0,0.05,Low Risk (Zone 5/6)
617868,46212.649999999994,0,0.05,Low Risk (Zone 5/6)
617957,122581.5,0,0.05,Low Risk (Zone 5/6)
601692,57550.0,0,0.05,Low Risk (Zone 5/6)
601704,88089.33333333333,0,0.05,Low Risk (Zone 5/6)
617961,77232.1,0,0.05,Low Risk (Zone 5/6)
617287,44467.03333333333,0,0.05,Low Risk (Zone 5/6)
617438,127761.0,0,0.05,Low Risk (Zone 5/6)
617482,108577.63333333335,0,0.05,Low Risk (Zone 5/6)
617487,55017.8,0,0.05,Low Risk (Zone 5/6)
617496,121085.2,0,0.05,Low Risk (Zone 5/6)
617504,88262.7,0,0.05,Low Risk (Zone 5/6)
617537,44175.36,0,0.05,Low Risk (Zone 5/6)
617539,82181.4,0,0.05,Low Risk (Zone 5/6)
617552,47996.7,0,0.05,Low Risk (Zone 5/6)
617553,64549.63333333333,0,0.05,Low Risk (Zone 5/6)
617554,47443.13333333333,0,0.05,Low Risk (Zone 5/6)
617569,40975.6,0,0.05,Low Risk (Zone 5/6)
617579,108539.3,0,0.05,Low Risk (Zone 5/6)
617590,87761.0,0,0.05,Low Risk (Zone 5/6)
601847,48250.0,0,0.05,Low Risk (Zone 5/6)
617608,51641.53333333333,0,0.05,Low Risk (Zone 5/6)
616925,138811.0,0,0.05,Low Risk (Zone 5/6)
616959,118725.65,0,0.05,Low Risk (Zone 5/6)
616966,112222.5,0,0.05,Low Risk (Zone 5/6)
616991,107158.1,0,0.05,Low Risk (Zone 5/6)
617009,61636.05,0,0.05,Low Risk (Zone 5/6)
617018,49631.06,0,0.05,Low Risk (Zone 5/6)
617064,59506.7,0,0.05,Low Risk (Zone 5/6)
617072,147443.1,0,0.05,Low Risk (Zone 5/6)
617155,111934.75,0,0.05,Low Risk (Zone 5/6)
617216,64628.75,0,0.05,Low Risk (Zone 5/6)
617253,50902.975,0,0.05,Low Risk (Zone 5/6)
617264,64456.0,0,0.05,Low Risk (Zone 5/6)
617270,124883.5,0,0.05,Low Risk (Zone 5/6)
601855,125459.0,0,0.05,Low Risk (Zone 5/6)
616526,39824.4,0,0.05,Low Risk (Zone 5/6)
616596,63113.166666666664,0,0.05,Low Risk (Zone 5/6)
616613,117632.2,0,0.05,Low Risk (Zone 5/6)
616619,110035.6,0,0.05,Low Risk (Zone 5/6)
616626,82008.75,0,0.05,Low Risk (Zone 5/6)
616631,133285.8,0,0.05,Low Risk (Zone 5/6)
616647,59276.5,0,0.05,Low Risk (Zone 5/6)
616651,89087.4,0,0.05,Low Risk (Zone 5/6)
616669,73337.84999999999,0,0.05,Low Risk (Zone 5/6)
616735,59506.740000000005,0,0.05,Low Risk (Zone 5/6)
616738,128566.7,0,0.05,Low Risk (Zone 5/6)
616751,109575.2,0,0.05,Low Risk (Zone 5/6)
616755,67103.3,0,0.05,Low Risk (Zone 5/6)
616767,88454.4,0,0.05,Low Risk (Zone 5/6)
602010,131500.0,0,0.05,Low Risk (Zone 5/6)
616130,100942.7,0,0.05,Low Risk (Zone 5/6)
616139,111042.75,0,0.05,Low Risk (Zone 5/6)
616168,51392.15,0,0.05,Low Risk (Zone 5/6)
616218,107043.0,0,0.05,Low Risk (Zone 5/6)
616243,105968.73333333334,0,0.05,Low Risk (Zone 5/6)
616254,86066.0,0,0.05,Low Risk (Zone 5/6)
616294,79879.5,0,0.05,Low Risk (Zone 5/6)
616332,145141.1,0,0.05,Low Risk (Zone 5/6)
616349,43116.46,0,0.05,Low Risk (Zone 5/6)
616358,49684.833333333336,0,0.05,Low Risk (Zone 5/6)
616362,85501.0,0,0.05,Low Risk (Zone 5/6)
602078,74494.66666666667,0,0.05,Low Risk (Zone 5/6)
602150,139700.0,0,0.05,Low Risk (Zone 5/6)
602162,65493.4,0,0.05,Low Risk (Zone 5/6)
616478,131789.5,0,0.05,Low Risk (Zone 5/6)
616508,122236.2,0,0.05,Low Risk (Zone 5/6)
615959,122121.1,0,0.05,Low Risk (Zone 5/6)
615962,73779.35,0,0.05,Low Risk (Zone 5/6)
615992,66562.0,0,0.05,Low Risk (Zone 5/6)
616006,112931.48133333334,0,0.05,Low Risk (Zone 5/6)
616030,77232.14,0,0.05,Low Risk (Zone 5/6)
616055,104741.0,0,0.05,Low Risk (Zone 5/6)
601549,141200.0,0,0.05,Low Risk (Zone 5/6)
616079,82680.16666666667,0,0.05,Low Risk (Zone 5/6)
616084,82728.25,0,0.05,Low Risk (Zone 5/6)
616087,123732.5,0,0.05,Low Risk (Zone 5/6)
616106,87965.25,0,0.05,Low Risk (Zone 5/6)
602225,122581.5,0,0.05,Low Risk (Zone 5/6)
602266,41900.0,0,0.05,Low Risk (Zone 5/6)
602395,83250.0,0,0.05,Low Risk (Zone 5/6)
616117,142378.7,0,0.05,Low Risk (Zone 5/6)
616121,44975.45,0,0.05,Low Risk (Zone 5/6)
615742,105460.325,0,0.05,Low Risk (Zone 5/6)
615748,118783.2,0,0.05,Low Risk (Zone 5/6)
615759,84598.5,0,0.05,Low Risk (Zone 5/6)
615768,122926.8,0,0.05,Low Risk (Zone 5/6)
615769,72467.04000000001,0,0.05,Low Risk (Zone 5/6)
615774,81682.63333333333,0,0.05,Low Risk (Zone 5/6)
615796,80569.98000000001,0,0.05,Low Risk (Zone 5/6)
615822,46193.549999999996,0,0.05,Low Risk (Zone 5/6)
615839,87015.6,0,0.05,Low Risk (Zone 5/6)
615869,70786.54000000001,0,0.05,Low Risk (Zone 5/6)
615915,123703.725,0,0.05,Low Risk (Zone 5/6)
606653,71610.0,0,0.05,Low Risk (Zone 5/6)
602489,131843.0,0,0.05,Low Risk (Zone 5/6)
615916,50126.05,0,0.05,Low Risk (Zone 5/6)
615918,118648.95,0,0.05,Low Risk (Zone 5/6)
615957,143990.1,0,0.05,Low Risk (Zone 5/6)
615458,137084.1,0,0.05,Low Risk (Zone 5/6)
615469,48457.1,0,0.05,Low Risk (Zone 5/6)
615497,129602.6,0,0.05,Low Risk (Zone 5/6)
615517,126725.1,0,0.05,Low Risk (Zone 5/6)
615518,80570.0,0,0.05,Low Risk (Zone 5/6)
615530,108846.23333333334,0,0.05,Low Risk (Zone 5/6)
615539,118207.7,0,0.05,Low Risk (Zone 5/6)
615549,130638.5,0,0.05,Low Risk (Zone 5/6)
615555,55248.0,0,0.05,Low Risk (Zone 5/6)
615690,75620.5,0,0.05,Low Risk (Zone 5/6)
615691,75812.59999999999,0,0.05,Low Risk (Zone 5/6)
615692,83965.45,0,0.05,Low Risk (Zone 5/6)
602693,34083.333333333336,0,0.05,Low Risk (Zone 5/6)
615707,75736.0,0,0.05,Low Risk (Zone 5/6)
615720,85289.13333333333,0,0.05,Low Risk (Zone 5/6)
615723,45406.95,0,0.05,Low Risk (Zone 5/6)
